IATA Code,ATL,LAX,ORD,MDW,DFW,JFK,LGA,DEN,SFO,CLT,LAS,PHX,IAH,MIA,SEA,EWR,MCO,MSP,DTW,BOS,PHL,FLL,BWI,SLC,HNL,SAN,TPA,PDX
MIA,972.368256582,3764.1639804,1910.17492501,1910.17492501,1788.02149871,1753.2522964,1753.2522964,2776.72478619,4175.3025201,1049.83042369,3509.19974335,3188.87353302,1557.77762928,0.0,4399.29416742,1750.50799466,328.047277318,2432.24608266,1855.12975679,2020.62473588,1640.60664151,38.8875444893,1535.85624647,3361.7174679,7828.7335136,3655.30759876,329.589454554,4357.52592363
SEA,3511.87728231,1543.61234544,2795.83105255,2795.83105255,2705.38553981,3875.41578218,3875.41578218,1643.89696835,1092.16240034,3678.18330435,1401.56768927,1792.76909305,3042.73160805,4399.29416742,0.0,3861.88145076,4103.13269203,2245.25219727,3119.38973147,4010.84741159,3828.98746184,4375.8926073,3756.11103118,1127.55184538,4312.64704257,1710.22161147,4070.13880207,233.024628804
EWR,1191.29824912,3930.1204767,1134.45240019,1134.45240019,2196.38735775,14.2564644062,14.2564644062,2610.82340007,4124.74308841,846.404301959,3578.47852487,3436.85264199,2271.22518028,1750.50799466,3861.88145076,0.0,1504.45718157,1625.51882903,761.005937257,316.073552588,121.080889001,1712.18275329,262.927394099,3160.34705439,7980.46407044,3900.8342643,1608.60026141,3921.62580246
MCO,644.957390703,3543.15256771,1582.27481573,1582.27481573,1549.27356465,1509.06956647,1509.06956647,2495.28518874,3929.37491482,743.427752718,3270.23380415,2970.54555025,1366.47606276,328.047277318,4103.13269203,1504.45718157,0.0,2105.50858538,1537.74632756,1793.69356521,1388.61331883,294.331823308,1270.97963415,3086.90513587,7639.9849799,3444.90943127,124.515403857,4070.1332704
MSP,1460.72369154,2452.25837699,572.156148677,572.156148677,1387.95437369,1639.37558015,1639.37558015,1125.822125,2550.62035428,1511.27989602,2084.80450249,2059.53615115,1698.91522309,2432.24608266,2245.25219727,1625.51882903,2105.50858538,0.0,874.460109107,1808.35846138,1585.65231267,2399.69544521,1510.99979294,1588.39685562,6384.90637245,2466.30731629,2119.25066385,2296.64151086
DTW,959.858634518,3191.83191826,384.601703548,384.601703548,1608.66152129,775.162681042,775.162681042,1861.78097357,3366.91711817,811.479001146,2834.79736782,2720.59015911,1778.28612964,1855.12975679,3119.38973147,761.005937257,1537.74632756,874.460109107,0.0,986.818376141,712.14945117,1817.56057902,639.017218075,2401.45660533,7221.03783504,3173.37271699,1596.73871416,3169.50069391
BOS,1507.27825485,4178.58539295,1371.21077781,1371.21077781,2496.75302344,306.217338268,306.217338268,2847.86681221,4344.13212589,1160.04266369,3821.49144145,3701.23395967,2583.01208991,2020.62473588,4010.84741159,316.073552588,1793.69356521,1808.35846138,986.818376141,0.0,435.871581909,1983.0381414,578.977488797,3377.76390888,8191.05992017,4158.21908689,1902.52278161,4087.02492694
PHL,1071.60836277,3851.9545024,1071.93701123,1071.93701123,2091.42842764,129.758861965,129.758861965,2540.27293192,4060.21487759,725.370696845,3503.3640101,3351.17815364,2157.72282647,1640.60664151,3828.98746184,121.080889001,1388.61331883,1585.65231267,712.14945117,435.871581909,0.0,1602.0979333,144.449820994,3098.14095489,7917.24093199,3818.27449066,1491.23501619,3881.55872382
FLL,939.269234209,3753.69852091,1875.47728523,1875.47728523,1773.68543071,1714.98217825,1714.98217825,2755.94813609,4161.05145225,1011.64099,3495.88538284,3178.59741359,1549.81793952,38.8875444893,4375.8926073,1712.18275329,294.331823308,2399.69544521,1817.56057902,1983.0381414,1602.0979333,0.0,1497.08005852,3342.32693731,7823.75563382,3646.38390873,306.037931569,4335.92800952
BWI,928.385258409,3733.35522486,976.091431861,976.091431861,1951.95026404,272.961403663,272.961403663,2430.09289107,3954.39365313,586.549219752,3387.80545982,3226.16319833,2013.81187055,1535.85624647,3756.11103118,262.927394099,1270.97963415,1510.99979294,639.017218075,578.977488797,144.449820994,1497.08005852,0.0,2995.49532355,7811.10198432,3695.74469207,1369.26497268,3800.92308677
SLC,2548.64019275,932.507469627,2026.87073097,2026.87073097,1608.43997828,3174.58297924,3174.58297924,598.264415463,966.368876525,2779.97834754,582.457676005,811.703958774,1930.77475551,3361.7174679,1127.55184538,3160.34705439,3086.90513587,1588.39685562,2401.45660533,3377.76390888,3098.14095489,3342.32693731,2995.49532355,0.0,4820.13163671,1008.64501253,3037.45265136,1023.26137444
HNL,7241.96348015,4125.06397541,6846.81708342,6846.81708342,6108.17436557,7994.69785411,7994.69785411,5382.08857953,3857.09344417,7532.36615458,4443.89017497,4684.08138996,6277.80984756,7828.7335136,4312.64704257,7980.46407044,7639.9849799,6384.90637245,7221.03783504,8191.05992017,7917.24093199,7823.75563382,7811.10198432,4820.13163671,0.0,4203.73503447,7551.9891648,4176.93686073
SAN,3043.54892131,179.456397534,2789.00135857,2789.00135857,1904.78495785,3914.9273974,3914.9273974,1341.4649754,737.598052035,3348.87030026,426.296970746,481.449318416,2097.9496249,3655.30759876,1710.22161147,3900.8342643,3444.90943127,2466.30731629,3173.37271699,4158.21908689,3818.27449066,3646.38390873,3695.74469207,1008.64501253,4203.73503447,0.0,3363.15731308,1498.94685903
TPA,669.124565233,3465.7327279,1612.8586746,1612.8586746,1477.5896375,1613.80093021,1613.80093021,2450.22448745,3863.57054158,821.567239748,3200.67997725,2891.60968534,1274.41255338,329.589454554,4070.13880207,1608.60026141,124.515403857,2119.25066385,1596.73871416,1902.52278161,1491.23501619,306.037931569,1369.26497268,3037.45265136,7551.9891648,3363.15731308,0.0,4029.92794573
PDX,3496.86380996,1328.49002042,2830.37498647,2830.37498647,2628.09095557,3935.41000117,3935.41000117,1582.59150237,860.876792535,3684.95971267,1216.04441496,1618.30219202,2953.98434908,4357.52592363,233.024628804,3921.62580246,4070.1332704,2296.64151086,3169.50069391,4087.02492694,3881.55872382,4335.92800952,3800.92308677,1023.26137444,4176.93686073,1498.94685903,4029.92794573,0.0
